tconst,averagerating_x,numvotes_x,primary_title_x,original_title_x,start_year_x,runtime_minutes_x,genres_x,Animation_x,Sport_x,Mystery_x,Action_x,Comedy_x,Documentary_x,Romance_x,News_x,War_x,Horror_x,Fantasy_x,Family_x,Music_x,Musical_x,Sci-Fi_x,History_x,Biography_x,Thriller_x,Crime_x,Adventure_x,Drama_x,id,release_date,title_x,vote_average_x,vote_count_x,Year_x,category,primary_name,birth_year,death_year,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,profit,id_y,release_date_y,title_y,vote_average_y,vote_count_y,Year_y,averagerating_y,numvotes_y,primary_title_y,original_title_y,start_year_y,runtime_minutes_y,genres_y,Animation_y,Sport_y,Mystery_y,Action_y,Comedy_y,Documentary_y,Romance_y,News_y,War_y,Horror_y,Fantasy_y,Family_y,Music_y,Musical_y,Sci-Fi_y,History_y,Biography_y,Thriller_y,Crime_y,Adventure_y,Drama_y
tt1488181,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133931,2012-07-07,Zambezia,5.6,131,2012,writer,Andrew Cook,,,8,"Dec 31, 2012",Zambezia,20000000.0,0.0,"$34,454,336",-20000000.0,133931,2012-07-07,Zambezia,5.6,131,2012,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt1488181,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133931,2012-07-07,Zambezia,5.6,131,2012,writer,Tom Kenny,1962.0,,8,"Dec 31, 2012",Zambezia,20000000.0,0.0,"$34,454,336",-20000000.0,133931,2012-07-07,Zambezia,5.6,131,2012,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt1488181,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133931,2012-07-07,Zambezia,5.6,131,2012,writer,Anthony Silverston,,,8,"Dec 31, 2012",Zambezia,20000000.0,0.0,"$34,454,336",-20000000.0,133931,2012-07-07,Zambezia,5.6,131,2012,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt1488181,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133931,2012-07-07,Zambezia,5.6,131,2012,writer,Raffaella Delle Donne,,,8,"Dec 31, 2012",Zambezia,20000000.0,0.0,"$34,454,336",-20000000.0,133931,2012-07-07,Zambezia,5.6,131,2012,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt1488181,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133931,2012-07-07,Zambezia,5.6,131,2012,writer,Brent Palmer,,,8,"Dec 31, 2012",Zambezia,20000000.0,0.0,"$34,454,336",-20000000.0,133931,2012-07-07,Zambezia,5.6,131,2012,5.8,6010,Zambezia,Zambezia,2012,83.0,"Adventure,Animation,Comedy",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt1519461,4.2,11537,Area 51,Area 51,2015,91.0,"Horror,Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,57876,2015-05-15,Area 51,4.4,248,2015,writer,Christopher Denham,,,81,"May 15, 2015",Area 51,5000000.0,7556.0,"$7,556",-4992444.0,57876,2015-05-15,Area 51,4.4,248,2015,4.2,11537,Area 51,Area 51,2015,91.0,"Horror,Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
tt1655460,5.6,69081,Wanderlust,Wanderlust,2012,98.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50647,2012-02-24,Wanderlust,5.4,693,2012,writer,Ken Marino,1968.0,,88,"Feb 24, 2012",Wanderlust,32500000.0,17288155.0,"$24,159,934",-15211845.0,50647,2012-02-24,Wanderlust,5.4,693,2012,5.6,69081,Wanderlust,Wanderlust,2012,98.0,"Comedy,Romance",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1687901,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,398307,2010-10-29,The Awakening,4.0,3,2010,writer,Stephen Volk,1954.0,,4,"Aug 17, 2012",The Awakening,4900000.0,95933.0,"$6,924,321",-4804067.0,398307,2010-10-29,The Awakening,4.0,3,2010,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt1687901,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,398307,2010-10-29,The Awakening,4.0,3,2010,writer,Stephen Volk,1954.0,,4,"Aug 17, 2012",The Awakening,4900000.0,95933.0,"$6,924,321",-4804067.0,77949,2011-08-17,The Awakening,6.4,782,2011,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt1687901,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,77949,2011-08-17,The Awakening,6.4,782,2011,writer,Stephen Volk,1954.0,,4,"Aug 17, 2012",The Awakening,4900000.0,95933.0,"$6,924,321",-4804067.0,398307,2010-10-29,The Awakening,4.0,3,2010,6.5,60215,The Awakening,The Awakening,2011,102.0,"Horror,Thriller",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
