tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,Animation,Sport,Mystery,Action,Comedy,Documentary,Romance,News,War,Horror,Fantasy,Family,Music,Musical,Sci-Fi,History,Biography,Thriller,Crime,Adventure,Drama,id,release_date,title,vote_average,vote_count,Year,category,primary_name,birth_year,death_year
tt1477704,2.4,125,Dorm of the Dead,Dorm of the Dead,2012,86.0,"Action,Comedy,Horror",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113625,2012-02-07,Dorm of the Dead,3.0,3,2012,writer,Jimmy Anthony Donahue,,
tt1477704,2.4,125,Dorm of the Dead,Dorm of the Dead,2012,86.0,"Action,Comedy,Horror",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113625,2012-02-07,Dorm of the Dead,3.0,3,2012,writer,Michael Joyner,,
tt1477704,2.4,125,Dorm of the Dead,Dorm of the Dead,2012,86.0,"Action,Comedy,Horror",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113625,2012-02-07,Dorm of the Dead,3.0,3,2012,writer,John Strong,,
tt1483010,6.2,252,Logan,Logan,2010,94.0,"Comedy,Drama,Family",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Brian Lawrence,,
tt1483010,6.2,252,Logan,Logan,2010,94.0,"Comedy,Drama,Family",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Matt Martin,,
tt1483010,6.2,252,Logan,Logan,2010,94.0,"Comedy,Drama,Family",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Tyler Skrobonja,,
tt1483010,6.2,252,Logan,Logan,2010,94.0,"Comedy,Drama,Family",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Brian Lawrence,,
tt1483010,6.2,252,Logan,Logan,2010,94.0,"Comedy,Drama,Family",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Matt Martin,,
tt1483010,6.2,252,Logan,Logan,2010,94.0,"Comedy,Drama,Family",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,263115,2017-03-03,Logan,7.8,12330,2017,writer,Tyler Skrobonja,,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Scott Frank,1960.0,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Michael Green,,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Roy Thomas,1940.0,
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,Len Wein,1948.0,2017.0
tt3315342,8.1,560270,Logan,Logan,2017,137.0,"Action,Drama,Sci-Fi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44010,2010-09-10,Logan,6.1,4,2010,writer,John Romita Sr.,1930.0,
